archivo,fecha_hora,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
p5_fila_026.html,2025-01-06 11:00:00,5.0,6.0,8.0,19.0,24.0,29.0,30.0,33.0,36.0,42.0,45.0,50.0,54.0,66.0,68.0,69.0,82.0,88.0,89.0,90.0
p5_fila_025.html,2025-01-06 11:05:00,3.0,5.0,6.0,8.0,15.0,22.0,23.0,27.0,30.0,31.0,39.0,43.0,50.0,53.0,65.0,66.0,70.0,76.0,80.0,88.0
p5_fila_024.html,2025-01-06 11:10:00,1.0,4.0,11.0,21.0,22.0,23.0,25.0,26.0,27.0,28.0,29.0,34.0,36.0,40.0,49.0,50.0,59.0,66.0,79.0,90.0
p5_fila_023.html,2025-01-06 11:15:00,13.0,16.0,28.0,34.0,37.0,41.0,46.0,49.0,53.0,55.0,59.0,62.0,66.0,69.0,72.0,74.0,81.0,87.0,88.0,89.0
p5_fila_022.html,2025-01-06 11:20:00,5.0,7.0,9.0,11.0,16.0,18.0,21.0,24.0,31.0,43.0,44.0,45.0,56.0,60.0,61.0,67.0,69.0,76.0,82.0,89.0
p5_fila_021.html,2025-01-06 11:25:00,3.0,12.0,29.0,31.0,35.0,36.0,37.0,42.0,43.0,45.0,49.0,52.0,58.0,64.0,68.0,73.0,74.0,84.0,86.0,89.0
p5_fila_020.html,2025-01-06 11:30:00,8.0,13.0,14.0,15.0,16.0,32.0,34.0,36.0,37.0,41.0,43.0,47.0,59.0,67.0,70.0,72.0,76.0,78.0,80.0,86.0
p5_fila_019.html,2025-01-06 11:35:00,6.0,10.0,14.0,17.0,20.0,23.0,31.0,34.0,38.0,45.0,46.0,54.0,55.0,57.0,64.0,67.0,70.0,72.0,73.0,90.0
p5_fila_018.html,2025-01-06 11:40:00,1.0,2.0,12.0,13.0,19.0,20.0,21.0,29.0,32.0,33.0,34.0,35.0,43.0,49.0,50.0,56.0,66.0,78.0,85.0,90.0
p5_fila_017.html,2025-01-06 11:45:00,2.0,3.0,11.0,16.0,17.0,21.0,22.0,30.0,33.0,34.0,35.0,38.0,39.0,49.0,52.0,55.0,57.0,82.0,84.0,90.0
p5_fila_016.html,2025-01-06 11:50:00,1.0,5.0,9.0,10.0,16.0,18.0,20.0,34.0,42.0,51.0,56.0,58.0,64.0,71.0,77.0,81.0,82.0,83.0,85.0,89.0
p5_fila_015.html,2025-01-06 11:55:00,3.0,4.0,8.0,11.0,16.0,23.0,24.0,28.0,30.0,42.0,43.0,48.0,49.0,50.0,62.0,75.0,77.0,79.0,81.0,90.0
p2_fila_038.html,2025-01-06 12:00:00,2.0,12.0,14.0,22.0,24.0,30.0,35.0,36.0,42.0,43.0,45.0,46.0,47.0,50.0,51.0,57.0,67.0,78.0,83.0,90.0
p2_fila_037.html,2025-01-06 12:05:00,1.0,9.0,16.0,17.0,25.0,26.0,28.0,34.0,37.0,40.0,41.0,52.0,63.0,67.0,69.0,74.0,75.0,80.0,87.0,88.0
p2_fila_036.html,2025-01-06 12:10:00,1.0,4.0,9.0,16.0,20.0,25.0,31.0,35.0,36.0,40.0,43.0,44.0,60.0,61.0,62.0,64.0,66.0,77.0,82.0,86.0
p2_fila_035.html,2025-01-06 12:15:00,8.0,10.0,17.0,18.0,22.0,28.0,32.0,33.0,47.0,55.0,59.0,60.0,61.0,65.0,66.0,73.0,80.0,87.0,89.0,90.0
p2_fila_034.html,2025-01-06 12:20:00,1.0,3.0,4.0,8.0,9.0,15.0,16.0,26.0,30.0,31.0,35.0,44.0,48.0,49.0,52.0,53.0,62.0,68.0,75.0,79.0
p2_fila_033.html,2025-01-06 12:25:00,1.0,6.0,13.0,28.0,35.0,37.0,39.0,40.0,44.0,57.0,61.0,65.0,70.0,71.0,73.0,74.0,82.0,87.0,89.0,90.0
